Tournament,Date,Participation,Winner,Runner-up,Final Score,Overview_Serve_Ace %_Winner,Overview_Serve_Ace %_Runner-up,Overview_Serve_Double Fault %_Winner,Overview_Serve_Double Fault %_Runner-up,Overview_Serve_1st Serve %_Winner,Overview_Serve_1st Serve %_Runner-up,Overview_Serve_1st Serve Won %_Winner,Overview_Serve_1st Serve Won %_Runner-up,Overview_Serve_2nd Serve Won %_Winner,Overview_Serve_2nd Serve Won %_Runner-up,Overview_Serve_Break Points Saved %_Winner,Overview_Serve_Break Points Saved %_Runner-up,Overview_Serve_Service Points Won %_Winner,Overview_Serve_Service Points Won %_Runner-up,Overview_Return_1st Srv. Return Won %_Winner,Overview_Return_1st Srv. Return Won %_Runner-up,Overview_Return_2nd Srv. Return Won %_Winner,Overview_Return_2nd Srv. Return Won %_Runner-up,Overview_Return_Break Points Won %_Winner,Overview_Return_Break Points Won %_Runner-up,Overview_Return_Return Points Won %_Winner,Overview_Return_Return Points Won %_Runner-up,Overview_Total_Points Dominance_Winner,Overview_Total_Total Points Won %_Winner,Overview_Total_Total Points Won %_Runner-up,Overview_Total_Match Time_Winner,AcesDFs_Aces_Aces_Winner,AcesDFs_Aces_Ace %_Winner,AcesDFs_Aces_Ace %_Runner-up,AcesDFs_Aces_Aces per Svc. Game_Winner,AcesDFs_Aces_Aces per Svc. Game_Runner-up,AcesDFs_Aces_Aces per Set_Winner,AcesDFs_Aces_Aces per Set_Runner-up,AcesDFs_Double Faults_Double Faults_Winner,AcesDFs_Double Faults_Double Fault %_Winner,AcesDFs_Double Faults_Double Fault %_Runner-up,AcesDFs_Double Faults_DFs per 2nd Serve %_Winner,AcesDFs_Double Faults_DFs per 2nd Serve %_Runner-up,AcesDFs_Double Faults_DFs per Svc. Game_Winner,AcesDFs_Double Faults_DFs per Svc. Game_Runner-up,AcesDFs_Double Faults_DFs per Set_Winner,AcesDFs_Double Faults_DFs per Set_Runner-up,AcesDFs_Other_Aces / DFs Ratio_Winner,AcesDFs_Other_Aces / DFs Ratio_Runner-up,Serve_Serve_1st Serve %_Winner,Serve_Serve_1st Serve %_Runner-up,Serve_Serve_1st Serve Won %_Winner,Serve_Serve_1st Serve Won %_Runner-up,Serve_Serve_2nd Serve Won %_Winner,Serve_Serve_2nd Serve Won %_Runner-up,Serve_Serve_1st Serve Effectiveness_Winner,Serve_Serve_Serve Rating_Winner,Serve_Points_Service Points Won %_Winner,Serve_Points_Service Points Won %_Runner-up,Serve_Points_Svc. In-play Pts. Won %_Winner,Serve_Points_Svc. In-play Pts. Won %_Runner-up,Serve_Points_Points per Service Game_Winner,Serve_Points_Points per Service Game_Runner-up,Serve_Points_Pts. Lost per Svc. Game_Winner,Serve_Points_Pts. Lost per Svc. Game_Runner-up,Serve_Points_Break Points Saved %_Winner,Serve_Points_Break Points Saved %_Runner-up,Serve_Points_BPs per Svc. Game_Winner,Serve_Points_BPs per Svc. Game_Runner-up,Serve_Points_BPs Faced per Set_Winner,Serve_Points_BPs Faced per Set_Runner-up,Serve_Games_Service Games Won %_Winner,Serve_Games_Service Games Won %_Runner-up,Serve_Games_Svc. Gms. Lost per Set_Winner,Serve_Games_Svc. Gms. Lost per Set_Runner-up,Return_Return_1st Srv. Return Won %_Winner,Return_Return_1st Srv. Return Won %_Runner-up,Return_Return_2nd Srv. Return Won %_Winner,Return_Return_2nd Srv. Return Won %_Runner-up,Return_Return_Return Rating_Winner,Return_Points_Return Points Won %_Winner,Return_Points_Return Points Won %_Runner-up,Return_Points_Rtn. In-play Pts. Won %_Winner,Return_Points_Rtn. In-play Pts. Won %_Runner-up,Return_Points_Points per Return Game_Winner,Return_Points_Points per Return Game_Runner-up,Return_Points_Pts. Won per Rtn. Game_Winner,Return_Points_Pts. Won per Rtn. Game_Runner-up,Return_Points_Break Points Won %_Winner,Return_Points_Break Points Won %_Runner-up,Return_Points_BPs per Return Game_Winner,Return_Points_BPs per Return Game_Runner-up,Return_Points_BPs per Set_Winner,Return_Points_BPs per Set_Runner-up,Return_Games_Return Games Won %_Winner,Return_Games_Return Games Won %_Runner-up,Return_Games_Rtn. Gms. Won per Set_Winner,Return_Games_Rtn. Gms. Won per Set_Runner-up,Total_Points & Games_Total Points Played_Winner,Total_Points & Games_Total Points Won_Winner,Total_Points & Games_Total Points Won %_Winner,Total_Points & Games_Total Points Won %_Runner-up,Total_Points & Games_Rtn. to Svc. Points Ratio_Winner,Total_Points & Games_Rtn. to Svc. Points Ratio_Runner-up,Total_Points & Games_Total Games Played_Winner,Total_Points & Games_Total Games Won_Winner,Total_Points & Games_Games Won %_Winner,Total_Points & Games_Games Won %_Runner-up,Total_Dominance_Points Dominance_Winner,Total_Dominance_Games Dominance_Winner,Total_Dominance_Break Points Ratio_Winner,Total_Time_Point Time (seconds)_Winner,Total_Time_Game Time (minutes)_Winner,Total_Time_Set Time (minutes)_Winner,Total_Time_Match Time_Winner
Australian Open 2014,13-01-2014,94.3%,Stan Wawrinka,Rafael Nadal,6-3 6-2 3-6 6-3,19 / 96,1 / 108,2 / 96,3 / 108,53 / 96,84 / 108,46 / 53,50 / 84,22 / 43,10 / 24,4 / 6,10 / 15,68 / 96,60 / 108,34 / 84,7 / 53,14 / 24,21 / 43,5 / 15,2 / 6,48 / 108,28 / 96,0.66,116 / 204,88 / 204,2:21,1,19 / 96,1 / 108,19 / 18,1 / 17,19 / 4,1 / 4,3,2 / 96,3 / 108,2 / 43,3 / 24,2 / 18,3 / 17,2 / 4,3 / 4,19 / 2,1 / 3,53 / 96,84 / 108,46 / 53,50 / 84,22 / 43,10 / 24,1.43,314,68 / 96,60 / 108,49 / 75,59 / 104,96 / 18,108 / 17,28 / 18,48 / 17,4 / 6,10 / 15,6 / 18,15 / 17,6 / 4,15 / 4,16 / 18,12 / 17,2 / 4,5 / 4,34 / 84,7 / 53,14 / 24,21 / 43,106,48 / 108,28 / 96,45.0 / 104.0,26.0 / 75.0,108 / 17,96 / 18,48 / 17,28 / 18,5 / 15,2 / 6,15 / 17,6 / 18,15 / 4,6 / 4,5 / 17,2 / 18,5 / 4,2 / 4,204,88,116 / 204,88 / 204,108 / 96,96 / 108,35,14,21 / 35,14 / 35,0.66,0.38,1.00,41.5,4.03,35.3,2:21
Australian Open 2013,14-01-2013,90.6%,Novak Djokovic,Andy Murray,6-7(2) 7-6(3) 6-3 6-2,8 / 134,7 / 131,3 / 134,4 / 131,84 / 134,81 / 131,63 / 84,64 / 81,33 / 50,24 / 50,4 / 4,8 / 11,96 / 134,88 / 131,17 / 81,21 / 84,26 / 50,17 / 50,3 / 11,0 / 4,43 / 131,38 / 134,0.86,139 / 265,126 / 265,3:40,7,8 / 134,7 / 131,8 / 21,7 / 20,8 / 4,7 / 4,4,3 / 134,4 / 131,3 / 50,4 / 50,3 / 21,4 / 20,3 / 4,4 / 4,8 / 3,7 / 4,84 / 134,81 / 131,63 / 84,64 / 81,33 / 50,24 / 50,1.65,349,96 / 134,88 / 131,88 / 123,81 / 120,134 / 21,131 / 20,38 / 21,43 / 20,4 / 4,8 / 11,4 / 21,11 / 20,4 / 4,11 / 4,21 / 21,17 / 20,0 / 4,3 / 4,17 / 81,21 / 84,26 / 50,17 / 50,59,43 / 131,38 / 134,39.0 / 120.0,35.0 / 123.0,131 / 20,134 / 21,43 / 20,38 / 21,3 / 11,0 / 4,11 / 20,4 / 21,11 / 4,4 / 4,3 / 20,0 / 21,3 / 4,0 / 4,265,126,139 / 265,126 / 265,131 / 134,134 / 131,41,17,24 / 41,17 / 41,0.86,0.00,0.00,49.8,5.37,55.0,3:40
Australian Open 2012,16-01-2012,92.4%,Novak Djokovic,Rafael Nadal,5-7 6-4 6-2 6-7(5) 7-5,9 / 166,10 / 203,2 / 166,4 / 203,98 / 166,135 / 203,67 / 98,88 / 135,43 / 68,32 / 68,2 / 6,13 / 20,110 / 166,120 / 203,47 / 135,31 / 98,36 / 68,25 / 68,7 / 20,4 / 6,83 / 203,56 / 166,0.83,193 / 369,176 / 369,5:53,10,9 / 166,10 / 203,9 / 27,10 / 27,9 / 5,10 / 5,4,2 / 166,4 / 203,2 / 68,4 / 68,2 / 27,4 / 27,2 / 5,4 / 5,9 / 2,10 / 4,98 / 166,135 / 203,67 / 98,88 / 135,43 / 68,32 / 68,1.39,321,110 / 166,120 / 203,101 / 155,110 / 189,166 / 27,203 / 27,56 / 27,83 / 27,2 / 6,13 / 20,6 / 27,20 / 27,6 / 5,20 / 5,23 / 27,20 / 27,4 / 5,7 / 5,47 / 135,31 / 98,36 / 68,25 / 68,150,83 / 203,56 / 166,79.0 / 189.0,54.0 / 155.0,203 / 27,166 / 27,83 / 27,56 / 27,7 / 20,4 / 6,20 / 27,6 / 27,20 / 5,6 / 5,7 / 27,4 / 27,7 / 5,4 / 5,369,176,193 / 369,176 / 369,203 / 166,166 / 203,54,24,30 / 54,24 / 54,0.83,0.57,1.90,57.4,6.54,70.6,5:53
Australian Open 2011,17-01-2011,97.4%,Novak Djokovic,Andy Murray,6-4 6-2 6-3,5 / 75,6 / 109,0 / 75,4 / 109,48 / 75,59 / 109,35 / 48,37 / 59,15 / 27,16 / 50,1 / 4,11 / 18,50 / 75,53 / 109,22 / 59,13 / 48,34 / 50,12 / 27,7 / 18,3 / 4,56 / 109,25 / 75,0.65,106 / 184,78 / 184,2:39,6,5 / 75,6 / 109,5 / 14,6 / 13,5 / 3,6 / 3,4,0 / 75,4 / 109,0 / 27,4 / 50,0 / 14,4 / 13,0 / 3,4 / 3,5 / 0,6 / 4,48 / 75,59 / 109,35 / 48,37 / 59,15 / 27,16 / 50,1.96,258,50 / 75,53 / 109,45 / 70,47 / 99,75 / 14,109 / 13,25 / 14,56 / 13,1 / 4,11 / 18,4 / 14,18 / 13,4 / 3,18 / 3,11 / 14,6 / 13,3 / 3,7 / 3,22 / 59,13 / 48,34 / 50,12 / 27,168,56 / 109,25 / 75,52.0 / 99.0,25.0 / 70.0,109 / 13,75 / 14,56 / 13,25 / 14,7 / 18,3 / 4,18 / 13,4 / 14,18 / 3,4 / 3,7 / 13,3 / 14,7 / 3,3 / 3,184,78,106 / 184,78 / 184,109 / 75,75 / 109,27,9,18 / 27,9 / 27,0.65,0.40,1.93,51.8,5.89,53.0,2:39
Australian Open 2010,18-01-2010,94.8%,Roger Federer,Andy Murray,6-3 6-4 7-6(11),11 / 112,10 / 104,2 / 112,4 / 104,75 / 112,58 / 104,54 / 75,40 / 58,22 / 37,24 / 46,6 / 8,8 / 12,76 / 112,64 / 104,18 / 58,21 / 75,22 / 46,15 / 37,4 / 12,2 / 8,40 / 104,36 / 112,0.84,116 / 216,100 / 216,2:41,10,11 / 112,10 / 104,11 / 16,10 / 15,11 / 3,10 / 3,4,2 / 112,4 / 104,2 / 37,4 / 46,2 / 16,4 / 15,2 / 3,4 / 3,11 / 2,10 / 4,75 / 112,58 / 104,54 / 75,40 / 58,22 / 37,24 / 46,1.32,323,76 / 112,64 / 104,65 / 99,54 / 90,112 / 16,104 / 15,36 / 16,40 / 15,6 / 8,8 / 12,8 / 16,12 / 15,8 / 3,12 / 3,14 / 16,11 / 15,2 / 3,4 / 3,18 / 58,21 / 75,22 / 46,15 / 37,106,40 / 104,36 / 112,36.0 / 90.0,34.0 / 99.0,104 / 15,112 / 16,40 / 15,36 / 16,4 / 12,2 / 8,12 / 15,8 / 16,12 / 3,8 / 3,4 / 15,2 / 16,4 / 3,2 / 3,216,100,116 / 216,100 / 216,104 / 112,112 / 104,31,13,18 / 31,13 / 31,0.84,0.47,0.75,44.7,5.19,53.7,2:41
Australian Open 2009,19-01-2009,93.6%,Rafael Nadal,Roger Federer,7-5 3-6 7-6(3) 3-6 6-2,4 / 175,11 / 172,4 / 175,6 / 172,112 / 175,89 / 172,74 / 112,65 / 89,30 / 63,38 / 83,13 / 19,9 / 16,104 / 175,103 / 172,24 / 89,38 / 112,45 / 83,33 / 63,7 / 16,6 / 19,69 / 172,71 / 175,1.01,173 / 347,174 / 347,4:19,11,4 / 175,11 / 172,4 / 24,11 / 26,4 / 5,11 / 5,6,4 / 175,6 / 172,4 / 63,6 / 83,4 / 24,6 / 26,4 / 5,6 / 5,4 / 4,11 / 6,112 / 175,89 / 172,74 / 112,65 / 89,30 / 63,38 / 83,1.60,303,104 / 175,103 / 172,100 / 167,92 / 155,175 / 24,172 / 26,71 / 24,69 / 26,13 / 19,9 / 16,19 / 24,16 / 26,19 / 5,16 / 5,18 / 24,19 / 26,6 / 5,7 / 5,24 / 89,38 / 112,45 / 83,33 / 63,143,69 / 172,71 / 175,63.0 / 155.0,67.0 / 167.0,172 / 26,175 / 24,69 / 26,71 / 24,7 / 16,6 / 19,16 / 26,19 / 24,16 / 5,19 / 5,7 / 26,6 / 24,7 / 5,6 / 5,347,174,173 / 347,174 / 347,172 / 175,175 / 172,50,25,25 / 50,25 / 50,1.01,0.93,0.72,44.8,5.18,51.8,4:19
Australian Open 2008,14-01-2008,93.1%,Novak Djokovic,Jo Wilfried,4-6 6-4 6-3 7-6(2),11 / 122,15 / 136,2 / 122,2 / 136,68 / 122,97 / 136,53 / 68,69 / 97,34 / 54,18 / 39,3 / 5,8 / 12,87 / 122,87 / 136,28 / 97,15 / 68,21 / 39,20 / 54,4 / 12,2 / 5,49 / 136,35 / 122,0.80,136 / 258,122 / 258,3:05,15,11 / 122,15 / 136,11 / 20,15 / 21,11 / 4,15 / 4,2,2 / 122,2 / 136,2 / 54,2 / 39,2 / 20,2 / 21,2 / 4,2 / 4,11 / 2,15 / 2,68 / 122,97 / 136,53 / 68,69 / 97,34 / 54,18 / 39,1.54,346,87 / 122,87 / 136,76 / 109,72 / 119,122 / 20,136 / 21,35 / 20,49 / 21,3 / 5,8 / 12,5 / 20,12 / 21,5 / 4,12 / 4,18 / 20,17 / 21,2 / 4,4 / 4,28 / 97,15 / 68,21 / 39,20 / 54,109,49 / 136,35 / 122,47.0 / 119.0,33.0 / 109.0,136 / 21,122 / 20,49 / 21,35 / 20,4 / 12,2 / 5,12 / 21,5 / 20,12 / 4,5 / 4,4 / 21,2 / 20,4 / 4,2 / 4,258,122,136 / 258,122 / 258,136 / 122,122 / 136,41,19,22 / 41,19 / 41,0.80,0.53,1.20,43.0,4.51,46.3,3:05
Australian Open 2007,15-01-2007,97.5%,Roger Federer,Fernando Gonzalez,7-6(2) 6-4 6-4,5 / 86,6 / 127,1 / 86,3 / 127,50 / 86,77 / 127,41 / 50,53 / 77,28 / 36,23 / 50,0 / 1,7 / 10,69 / 86,76 / 127,24 / 77,9 / 50,27 / 50,8 / 36,3 / 10,1 / 1,51 / 127,17 / 86,0.49,120 / 213,93 / 213,2:20,6,5 / 86,6 / 127,5 / 16,6 / 16,5 / 3,6 / 3,3,1 / 86,3 / 127,1 / 36,3 / 50,1 / 16,3 / 16,1 / 3,3 / 3,5 / 1,6 / 3,50 / 86,77 / 127,41 / 50,53 / 77,28 / 36,23 / 50,1.50,329,69 / 86,76 / 127,64 / 80,70 / 118,86 / 16,127 / 16,17 / 16,51 / 16,0 / 1,7 / 10,1 / 16,10 / 16,1 / 3,10 / 3,15 / 16,13 / 16,1 / 3,3 / 3,24 / 77,9 / 50,27 / 50,8 / 36,146,51 / 127,17 / 86,48.0 / 118.0,16.0 / 80.0,127 / 16,86 / 16,51 / 16,17 / 16,3 / 10,1 / 1,10 / 16,1 / 16,10 / 3,1 / 3,3 / 16,1 / 16,3 / 3,1 / 3,213,93,120 / 213,93 / 213,127 / 86,86 / 127,32,14,18 / 32,14 / 32,0.49,0.33,3.33,39.4,4.38,46.7,2:20
Australian Open 2006,16-01-2006,86.3%,Roger Federer,Marcos,5-7 7-5 6-0 6-2,11 / 144,6 / 114,6 / 144,2 / 114,77 / 144,55 / 114,55 / 77,39 / 55,34 / 67,22 / 59,7 / 10,4 / 12,89 / 144,61 / 114,16 / 55,22 / 77,37 / 59,33 / 67,8 / 12,3 / 10,53 / 114,55 / 144,0.82,142 / 258,116 / 258,2:46,6,11 / 144,6 / 114,11 / 19,6 / 19,11 / 4,6 / 4,2,6 / 144,2 / 114,6 / 67,2 / 59,6 / 19,2 / 19,6 / 4,2 / 4,11 / 6,6 / 2,77 / 144,55 / 114,55 / 77,39 / 55,34 / 67,22 / 59,1.90,251,89 / 144,61 / 114,78 / 127,55 / 106,144 / 19,114 / 19,55 / 19,53 / 19,7 / 10,4 / 12,10 / 19,12 / 19,10 / 4,12 / 4,16 / 19,11 / 19,3 / 4,8 / 4,16 / 55,22 / 77,37 / 59,33 / 67,124,53 / 114,55 / 144,51.0 / 106.0,49.0 / 127.0,114 / 19,144 / 19,53 / 19,55 / 19,8 / 12,3 / 10,12 / 19,10 / 19,12 / 4,10 / 4,8 / 19,3 / 19,8 / 4,3 / 4,258,116,142 / 258,116 / 258,114 / 144,144 / 114,38,14,24 / 38,14 / 38,0.82,0.37,0.45,38.6,4.37,41.5,2:46
Australian Open 2005,17-01-2005,95.8%,Marat Safin,Lleyton Hewitt,1-6 6-3 6-4 6-4,18 / 110,7 / 125,1 / 110,3 / 125,66 / 110,61 / 125,48 / 66,43 / 61,25 / 44,33 / 64,5 / 8,7 / 11,73 / 110,76 / 125,18 / 61,18 / 66,31 / 64,19 / 44,4 / 11,3 / 8,49 / 125,37 / 110,0.86,122 / 235,113 / 235,2:45,7,18 / 110,7 / 125,18 / 18,7 / 18,18 / 4,7 / 4,3,1 / 110,3 / 125,1 / 44,3 / 64,1 / 18,3 / 18,1 / 4,3 / 4,18 / 1,7 / 3,66 / 110,61 / 125,48 / 66,43 / 61,25 / 44,33 / 64,1.37,315,73 / 110,76 / 125,55 / 91,69 / 115,110 / 18,125 / 18,37 / 18,49 / 18,5 / 8,7 / 11,8 / 18,11 / 18,8 / 4,11 / 4,15 / 18,14 / 18,3 / 4,4 / 4,18 / 61,18 / 66,31 / 64,19 / 44,125,49 / 125,37 / 110,46.0 / 115.0,36.0 / 91.0,125 / 18,110 / 18,49 / 18,37 / 18,4 / 11,3 / 8,11 / 18,8 / 18,11 / 4,8 / 4,4 / 18,3 / 18,4 / 4,3 / 4,235,113,122 / 235,113 / 235,125 / 110,110 / 125,36,17,19 / 36,17 / 36,0.86,0.75,1.03,42.1,4.58,41.3,2:45
Australian Open 2004,19-01-2004,94.1%,Roger Federer,Marat,7-6(3) 6-4 6-2,8 / 90,3 / 116,2 / 90,5 / 116,48 / 90,57 / 116,36 / 48,36 / 57,25 / 42,28 / 59,1 / 3,13 / 18,61 / 90,64 / 116,21 / 57,12 / 48,31 / 59,17 / 42,5 / 18,2 / 3,52 / 116,29 / 90,0.72,113 / 206,93 / 206,2:15,3,8 / 90,3 / 116,8 / 15,3 / 15,8 / 3,3 / 3,5,2 / 90,5 / 116,2 / 42,5 / 59,2 / 15,5 / 15,2 / 3,5 / 3,8 / 2,3 / 5,48 / 90,57 / 116,36 / 48,36 / 57,25 / 42,28 / 59,1.33,297,61 / 90,64 / 116,53 / 80,61 / 108,90 / 15,116 / 15,29 / 15,52 / 15,1 / 3,13 / 18,3 / 15,18 / 15,3 / 3,18 / 3,13 / 15,10 / 15,2 / 3,5 / 3,21 / 57,12 / 48,31 / 59,17 / 42,145,52 / 116,29 / 90,47.0 / 108.0,27.0 / 80.0,116 / 15,90 / 15,52 / 15,29 / 15,5 / 18,2 / 3,18 / 15,3 / 15,18 / 3,3 / 3,5 / 15,2 / 15,5 / 3,2 / 3,206,93,113 / 206,93 / 206,116 / 90,90 / 116,30,12,18 / 30,12 / 30,0.72,0.40,2.40,39.3,4.50,45.0,2:15
Australian Open 2003,13-01-2003,84.7%,Andre Agassi,Rainer Schuettler,6-2 6-2 6-1,7 / 58,4 / 65,1 / 58,4 / 65,39 / 58,33 / 65,29 / 39,19 / 33,14 / 19,9 / 32,0 / 1,5 / 13,43 / 58,28 / 65,14 / 33,10 / 39,23 / 32,5 / 19,8 / 13,1 / 1,37 / 65,15 / 58,0.45,80 / 123,43 / 123,1:16,4,7 / 58,4 / 65,7 / 11,4 / 12,7 / 3,4 / 3,4,1 / 58,4 / 65,1 / 19,4 / 32,1 / 11,4 / 12,1 / 3,4 / 3,7 / 1,4 / 4,39 / 58,33 / 65,29 / 39,19 / 33,14 / 19,9 / 32,2.05,208,43 / 58,28 / 65,36 / 50,24 / 57,58 / 11,65 / 12,15 / 11,37 / 12,0 / 1,5 / 13,1 / 11,13 / 12,1 / 3,13 / 3,10 / 11,4 / 12,1 / 3,8 / 3,14 / 33,10 / 39,23 / 32,5 / 19,161,37 / 65,15 / 58,33.0 / 57.0,14.0 / 50.0,65 / 12,58 / 11,37 / 12,15 / 11,8 / 13,1 / 1,13 / 12,1 / 11,13 / 3,1 / 3,8 / 12,1 / 11,8 / 3,1 / 3,123,43,80 / 123,43 / 123,65 / 58,58 / 65,23,5,18 / 23,5 / 23,0.45,0.14,1.63,37.1,3.30,25.3,1:16
Australian Open 2002,14-01-2002,87.0%,Thomas Johansson,Marat Safin,3-6 6-4 6-4 7-6(4),16 / 115,13 / 142,4 / 115,2 / 142,64 / 115,90 / 142,55 / 64,60 / 90,27 / 51,28 / 52,3 / 6,11 / 14,82 / 115,88 / 142,30 / 90,9 / 64,24 / 52,24 / 51,3 / 14,3 / 6,54 / 142,33 / 115,0.75,136 / 257,121 / 257,2:53,13,16 / 115,13 / 142,16 / 20,13 / 21,16 / 4,13 / 4,2,4 / 115,2 / 142,4 / 51,2 / 52,4 / 20,2 / 21,4 / 4,2 / 4,16 / 4,13 / 2,64 / 115,90 / 142,55 / 64,60 / 90,27 / 51,28 / 52,1.24,356,82 / 115,88 / 142,66 / 95,75 / 127,115 / 20,142 / 21,33 / 20,54 / 21,3 / 6,11 / 14,6 / 20,14 / 21,6 / 4,14 / 4,17 / 20,18 / 21,3 / 4,3 / 4,30 / 90,9 / 64,24 / 52,24 / 51,126,54 / 142,33 / 115,52.0 / 127.0,29.0 / 95.0,142 / 21,115 / 20,54 / 21,33 / 20,3 / 14,3 / 6,14 / 21,6 / 20,14 / 4,6 / 4,3 / 21,3 / 20,3 / 4,3 / 4,257,121,136 / 257,121 / 257,142 / 115,115 / 142,41,20,21 / 41,20 / 41,0.75,1.05,2.33,40.4,4.22,43.3,2:53
Australian Open 2001,15-01-2001,86.2%,Andre Agassi,Arnaud Clement,6-4 6-2 6-2,7 / 81,5 / 90,1 / 81,7 / 90,53 / 81,47 / 90,38 / 53,28 / 47,13 / 28,19 / 43,4 / 6,8 / 15,51 / 81,47 / 90,19 / 47,15 / 53,24 / 43,15 / 28,7 / 15,2 / 6,43 / 90,30 / 81,0.78,94 / 171,77 / 171,1:46,5,7 / 81,5 / 90,7 / 13,5 / 13,7 / 3,5 / 3,7,1 / 81,7 / 90,1 / 28,7 / 43,1 / 13,7 / 13,1 / 3,7 / 3,7 / 1,5 / 7,53 / 81,47 / 90,38 / 53,28 / 47,13 / 28,19 / 43,1.35,253,51 / 81,47 / 90,44 / 73,42 / 78,81 / 13,90 / 13,30 / 13,43 / 13,4 / 6,8 / 15,6 / 13,15 / 13,6 / 3,15 / 3,11 / 13,6 / 13,2 / 3,7 / 3,19 / 47,15 / 53,24 / 43,15 / 28,131,43 / 90,30 / 81,36.0 / 78.0,29.0 / 73.0,90 / 13,81 / 13,43 / 13,30 / 13,7 / 15,2 / 6,15 / 13,6 / 13,15 / 3,6 / 3,7 / 13,2 / 13,7 / 3,2 / 3,171,77,94 / 171,77 / 171,90 / 81,81 / 90,26,8,18 / 26,8 / 26,0.78,0.29,0.71,37.2,4.08,35.3,1:46
Australian Open 2000,17-01-2000,88.9%,Andre Agassi,Yevgeny Kafelnikov,3-6 6-3 6-2 6-4,9 / 116,14 / 122,5 / 116,9 / 122,77 / 116,65 / 122,52 / 77,42 / 65,23 / 39,30 / 57,4 / 7,11 / 17,75 / 116,72 / 122,23 / 65,25 / 77,27 / 57,16 / 39,6 / 17,3 / 7,50 / 122,41 / 116,0.86,125 / 238,113 / 238,2:19,14,9 / 116,14 / 122,9 / 18,14 / 18,9 / 4,14 / 4,9,5 / 116,9 / 122,5 / 39,9 / 57,5 / 18,9 / 18,5 / 4,9 / 4,9 / 5,14 / 9,77 / 116,65 / 122,52 / 77,42 / 65,23 / 39,30 / 57,1.23,306,75 / 116,72 / 122,66 / 102,58 / 99,116 / 18,122 / 18,41 / 18,50 / 18,4 / 7,11 / 17,7 / 18,17 / 18,7 / 4,17 / 4,15 / 18,12 / 18,3 / 4,6 / 4,23 / 65,25 / 77,27 / 57,16 / 39,133,50 / 122,41 / 116,41.0 / 99.0,36.0 / 102.0,122 / 18,116 / 18,50 / 18,41 / 18,6 / 17,3 / 7,17 / 18,7 / 18,17 / 4,7 / 4,6 / 18,3 / 18,6 / 4,3 / 4,238,113,125 / 238,113 / 238,122 / 116,116 / 122,36,15,21 / 36,15 / 36,0.86,0.50,1.21,35.0,3.86,34.8,2:19
Australian Open 1999,18-01-1999,82.6%,Yevgeny Kafelnikov,Thomas,4-6 6-0 6-3 7-6(1),17 / 157,17 / 131,6 / 157,5 / 131,121 / 157,102 / 131,92 / 121,75 / 102,11 / 36,7 / 29,3 / 5,5 / 10,103 / 157,82 / 131,27 / 102,29 / 121,22 / 29,25 / 36,5 / 10,2 / 5,49 / 131,54 / 157,0.92,152 / 288,136 / 288,2:27,17,17 / 157,17 / 131,17 / 19,17 / 18,17 / 4,17 / 4,5,6 / 157,5 / 131,6 / 36,5 / 29,6 / 19,5 / 18,6 / 4,5 / 4,17 / 6,17 / 5,121 / 157,102 / 131,92 / 121,75 / 102,11 / 36,7 / 29,3.05,307,103 / 157,82 / 131,86 / 134,65 / 109,157 / 19,131 / 18,54 / 19,49 / 18,3 / 5,5 / 10,5 / 19,10 / 18,5 / 4,10 / 4,17 / 19,13 / 18,2 / 4,5 / 4,27 / 102,29 / 121,22 / 29,25 / 36,144,49 / 131,54 / 157,44.0 / 109.0,48.0 / 134.0,131 / 18,157 / 19,49 / 18,54 / 19,5 / 10,2 / 5,10 / 18,5 / 19,10 / 4,5 / 4,5 / 18,2 / 19,5 / 4,2 / 4,288,136,152 / 288,136 / 288,131 / 157,157 / 131,37,15,22 / 37,15 / 37,0.92,0.38,0.80,30.6,3.97,36.8,2:27
Australian Open 1998,19-01-1998,89.5%,Petr Korda,Marcelo Rios,6-2 6-2 6-2,4 / 85,2 / 77,4 / 85,4 / 77,47 / 85,43 / 77,38 / 47,27 / 43,18 / 38,8 / 34,5 / 6,5 / 12,56 / 85,35 / 77,16 / 43,9 / 47,26 / 34,20 / 38,7 / 12,1 / 6,42 / 77,29 / 85,0.63,98 / 162,64 / 162,1:25,2,4 / 85,2 / 77,4 / 12,2 / 12,4 / 3,2 / 3,4,4 / 85,4 / 77,4 / 38,4 / 34,4 / 12,4 / 12,4 / 3,4 / 3,4 / 4,2 / 4,47 / 85,43 / 77,38 / 47,27 / 43,18 / 38,8 / 34,2.67,223,56 / 85,35 / 77,52 / 77,33 / 71,85 / 12,77 / 12,29 / 12,42 / 12,5 / 6,5 / 12,6 / 12,12 / 12,6 / 3,12 / 3,11 / 12,5 / 12,1 / 3,7 / 3,16 / 43,9 / 47,26 / 34,20 / 38,97,42 / 77,29 / 85,38.0 / 71.0,25.0 / 77.0,77 / 12,85 / 12,42 / 12,29 / 12,7 / 12,1 / 6,12 / 12,6 / 12,12 / 3,6 / 3,7 / 12,1 / 12,7 / 3,1 / 3,162,64,98 / 162,64 / 162,77 / 85,85 / 77,24,6,18 / 24,6 / 24,0.63,0.14,0.29,31.5,3.54,28.3,1:25
